gene_symbol,uniprot_id,organism,pathway_tags,gravity_link,spine_curvature_link,priority_score,justification
PIEZO2,Q9H5I5,Homo sapiens,"Mechanotransduction,Proprioception","Essential for proprioception, which provides the gravity reference frame for posture control.","Loss of function mutations cause congenital scoliosis; asymmetric expression in paraspinal muscles in AIS. (DOI: 10.1056/NEJMoa1602812)",95,"Direct link between gravity sensing (proprioception) and spinal alignment."
LBX1,P52954,Homo sapiens,"Somite,Muscle,Proprioception","Regulates migration of muscle precursors and formation of dorsal horn neurons involved in proprioception/gravity sensing.","Top GWAS hit for Adolescent Idiopathic Scoliosis (AIS). (DOI: 10.1038/ng.814)",95,"Major genetic driver of AIS with clear mechanistic link to postural tone."
YAP1,P46937,Homo sapiens,"Mechanotransduction,Hippo,Growth_Plate","Nuclear translocation is directly regulated by mechanical stiffness and gravity loading forces.","Regulates osteoblast differentiation and vertebral growth; deletion leads to skeletal defects.",90,"Central hub of cellular mechanotransduction."
WWTR1,Q9GZV5,Homo sapiens,"Mechanotransduction,Hippo","Paralog of YAP, acts as a mechanosensor of matrix stiffness and gravity-derived stress.","Essential for skeletal development; deficiency causes osteopenia and spinal deformities.",88,"Key partner of YAP in mechanosensing."
POC5,Q8NA72,Homo sapiens,"Cilia,Centriole","Ciliary function is critical for detecting fluid flow and potentially gravity vectors (statocysts analogy).","Mutations found in familial AIS; causes ciliary defects and spinal curvature in zebrafish. (DOI: 10.1172/JCI77262)",90,"Direct genetic cause of scoliosis linked to ciliary geometry."
ADGRG6,Q7Z2K8,Homo sapiens,"Mechanotransduction,Adhesion","GPR126 is a mechanosensitive GPCR; essential for intervertebral disc maintenance under mechanical load.","Mutations associated with AIS; required for spinal alignment in zebrafish. (DOI: 10.1016/j.neuron.2014.05.022)",88,"Mechanosensitive receptor directly linked to spine integrity."
VANGL1,Q8TAA9,Homo sapiens,"PCP,Cilia","Planar Cell Polarity (PCP) aligns cells against tissue stress lines (gravity).","Rare variants associated with AIS; essential for vertebral shape. (DOI: 10.1371/journal.pgen.1002843)",85,"PCP pathway is fundamental to body axis linearity."
PTK7,Q13308,Homo sapiens,"PCP,Wnt_Signaling","Regulates convergent extension movements, resisting gravity-induced spreading.","Mutations cause scoliosis in zebrafish and are found in AIS patients. (DOI: 10.1038/ncomms1352)",85,"Core PCP component linked to spinal curvature."
COL2A1,P02458,Homo sapiens,"ECM,Growth_Plate","Major structural component resisting compressive gravity loads in spine.","Mutations cause spondyloepiphyseal dysplasia and scoliosis. (DOI: 10.1002/humu.1380020102)",85,"Primary gravity-resisting molecule in the spine."
COMP,P49747,Homo sapiens,"ECM,Mechanotransduction","Cartilage Oligomeric Matrix Protein; organizes collagen to resist load.","Mutations cause Pseudoachondroplasia with associated spinal curvature.",80,"Critical for matrix integrity under load."
KIF6,Q6ZMV9,Homo sapiens,"Cilia,Motor_Protein","Kinesin motor for ciliary transport; cilia are potential gravity sensors.","Associated with AIS susceptibility. (DOI: 10.1093/hmg/ddq172)",78,"Ciliary motor protein linked to scoliosis."
TRPV4,Q9HBA0,Homo sapiens,"Mechanotransduction,Ion_Channel","Mechanosensitive ion channel activated by osmotic and mechanical stress (gravity load).","Mutations cause metatropic dysplasia and scoliosis. (DOI: 10.1038/ng.667)",82,"Direct mechanosensor in chondrocytes."
PKD1L1,Q8TDX9,Homo sapiens,"Cilia,Ion_Channel","Detects cerebrospinal fluid flow in central canal; flow dynamics are gravity-influenced.","Mutations cause scoliosis in zebrafish and humans. (DOI: 10.1038/s41467-018-06283-3)",80,"Links CSF flow sensing to spine straightness."
TBX6,O95935,Homo sapiens,"Segmentation,Somite","Regulates somite segmentation clock; timing errors lead to hemivertebrae.","Mutations cause Congenital Scoliosis (CS). (DOI: 10.1056/NEJMoa1405829)",85,"Fundamental to vertebral segmentation symmetry."
HSPG2,P98160,Homo sapiens,"ECM,Mechanotransduction","Perlecan; mechanosensor in lacuno-canalicular system of bone.","Deficiency leads to Schwartz-Jampel syndrome with skeletal abnormalities (kyphoscoliosis).",75,"Key mechanosensory ECM component."
SCUBE3,Q8IX30,Homo sapiens,"ECM,Signaling","Secreted glycoprotein; modulates BMP signaling in osteogenesis.","Overexpression implicated in high bone mass and potential structural anomalies.",70,"Emerging candidate in bone morphogenesis."
GREM1,O60565,Homo sapiens,"Signaling,Growth_Plate","BMP antagonist; balances proliferation/differentiation in growth plate under load.","Variants linked to bone density and potentially structural defects.",72,"Regulates growth plate sensitivity."
MATN1,P21941,Homo sapiens,"ECM,Cartilage","Forms filamentous networks in cartilage; contributes to stiffness.","Linked to idiopathic scoliosis susceptibility in some populations. (DOI: 10.1016/j.ygeno.2007.03.010)",75,"Structural component of cartilage matrix."
HOXB1,P14653,Homo sapiens,"Development,Segmentation","Hox genes specify vertebral identity along the A-P axis (gravity axis).","Disruption leads to vertebral patterning defects.",70,"Positional identity gene."
WNT3A,P56704,Homo sapiens,"Signaling,Bone","Wnt signaling responds to mechanical load (osteocyte mechanotransduction).","Crucial for bone mass regulation and vertebral formation.",75,"Key signaling pathway in bone mechanobiology."
